time,hci
UTC,fraction below monthly threshold
1991-02-01T00:00:00Z,0.76746726
1991-03-01T00:00:00Z,0.77401745
1991-04-01T00:00:00Z,0.80131006
1991-05-01T00:00:00Z,0.98034936
1991-06-01T00:00:00Z,0.82969433
1991-07-01T00:00:00Z,0.5818777
1991-08-01T00:00:00Z,0.25436682
1991-09-01T00:00:00Z,0.279476
1991-10-01T00:00:00Z,0.31222707
1991-11-01T00:00:00Z,0.51746726
1991-12-01T00:00:00Z,0.6757642
1992-01-01T00:00:00Z,0.6604803
1992-02-01T00:00:00Z,0.0021834061
1992-03-01T00:00:00Z,0.0
1992-04-01T00:00:00Z,0.0
1992-05-01T00:00:00Z,0.0
1992-06-01T00:00:00Z,0.049126636
1992-07-01T00:00:00Z,0.029475983
1992-08-01T00:00:00Z,0.26310045
1992-09-01T00:00:00Z,0.1779476
1992-10-01T00:00:00Z,0.05349345
1992-11-01T00:00:00Z,0.01419214
1992-12-01T00:00:00Z,0.09061135
1993-01-01T00:00:00Z,0.6015284
1993-02-01T00:00:00Z,0.19104804
1993-03-01T00:00:00Z,0.05676856
1993-04-01T00:00:00Z,0.0032751092
1993-05-01T00:00:00Z,0.0
1993-06-01T00:00:00Z,0.033842795
1993-07-01T00:00:00Z,0.3242358
1993-08-01T00:00:00Z,0.18995634
1993-09-01T00:00:00Z,0.30895197
1993-10-01T00:00:00Z,0.16703057
1993-11-01T00:00:00Z,0.18231441
1993-12-01T00:00:00Z,0.20305677
1994-01-01T00:00:00Z,0.08733624
1994-02-01T00:00:00Z,0.2849345
1994-03-01T00:00:00Z,0.041484717
1994-04-01T00:00:00Z,0.14628822
1994-05-01T00:00:00Z,0.23253275
1994-06-01T00:00:00Z,0.29803494
1994-07-01T00:00:00Z,0.5
1994-08-01T00:00:00Z,0.30567685
1994-09-01T00:00:00Z,0.06441048
1994-10-01T00:00:00Z,0.37772927
1994-11-01T00:00:00Z,0.77729255
1994-12-01T00:00:00Z,0.62554586
1995-01-01T00:00:00Z,0.7805677
1995-02-01T00:00:00Z,0.03275109
1995-03-01T00:00:00Z,0.02183406
1995-04-01T00:00:00Z,0.06441048
1995-05-01T00:00:00Z,0.09716157
1995-06-01T00:00:00Z,0.15393013
1995-07-01T00:00:00Z,0.027292576
1995-08-01T00:00:00Z,0.12117904
1995-09-01T00:00:00Z,0.029475983
1995-10-01T00:00:00Z,0.12117904
1995-11-01T00:00:00Z,0.2161572
1995-12-01T00:00:00Z,0.0021834061
1996-01-01T00:00:00Z,0.02183406
1996-02-01T00:00:00Z,0.0
1996-03-01T00:00:00Z,0.029475983
1996-04-01T00:00:00Z,0.0021834061
1996-05-01T00:00:00Z,0.15065502
1996-06-01T00:00:00Z,0.5349345
1996-07-01T00:00:00Z,0.4661572
