Year,Area,Species Name,Number Of Fish (estimated),Landed Weight (lbs),Whole Weight (lbs),Permit Count,Processor Count,Vessel Count
1986,Norton Sound/Port Clarence,Chinook Salmon,6395,133161,133161,146,5,1
1986,Norton Sound/Port Clarence,Chum Salmon,146917,1011824,1011824,162,4,1
1986,Norton Sound/Port Clarence,Coho Salmon,35624,245568,245568,111,4,1
1986,Norton Sound/Port Clarence,Pink Salmon,,,,57,2,1
1986,Norton Sound/Port Clarence,Sockeye Salmon,233,1765,1765,69,4,1
1986,Prince William Sound,Chinook Salmon,42128,1086579,1086579,598,23,643
1986,Prince William Sound,Chum Salmon,1705426,14224661,14224661,743,31,777
1986,Prince William Sound,Coho Salmon,425747,4084343,4084343,675,26,686
1986,Prince William Sound,Pink Salmon,11425794,35029443,35029443,708,31,734
1986,Prince William Sound,Sockeye Salmon,1288213,7880559,7880559,782,31,859
1986,Southeast/Yakutat,Chinook Salmon,265263,4500729,4500729,2403,91,2373
1986,Southeast/Yakutat,Chum Salmon,3358772,29655836,29655836,2319,88,2320
1986,Southeast/Yakutat,Coho Salmon,3403973,25851602,25851013,2543,98,2560
1986,Southeast/Yakutat,Pink Salmon,46166526,153591676,153591676,2183,73,2212
1986,Southeast/Yakutat,Sockeye Salmon,1442727,9256224,9256224,1975,85,1937
1986,Yukon,Chinook Salmon,99970,2021169,2021169,704,22,1
1986,Yukon,Chum Salmon,860886,5977622,5977622,720,20,1
1986,Yukon,Coho Salmon,47281,299711,299711,514,14,1
1987,Alaska Peninsula/Aleutian Islands,Chinook Salmon,23360,434501,434501,376,20,349
1987,Alaska Peninsula/Aleutian Islands,Chum Salmon,1744583,12333796,12333796,407,20,387
1987,Alaska Peninsula/Aleutian Islands,Coho Salmon,396904,3019554,3019554,379,14,337
1987,Alaska Peninsula/Aleutian Islands,Pink Salmon,1212042,4237560,4237560,321,15,307
1987,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,2659263,16703220,16703220,418,23,411
1987,Arctic/Kotzebue,Chinook Salmon,44,597,597,27,4,1
1987,Arctic/Kotzebue,Chum Salmon,109467,900405,900405,160,5,1
1987,Bristol Bay,Chinook Salmon,75399,1514742,1514742,1843,52,1298
1987,Bristol Bay,Chum Salmon,1529142,9887048,9887048,2664,63,2136
1987,Bristol Bay,Coho Salmon,65403,456227,456227,445,26,230
1987,Bristol Bay,Pink Salmon,57,219,219,33,5,16
1987,Bristol Bay,Sockeye Salmon,16068775,95778723,95778723,2725,64,2144
1987,Chignik,Chinook Salmon,2651,49482,49482,93,6,93
1987,Chignik,Chum Salmon,127261,943941,943941,100,9,102
1987,Chignik,Coho Salmon,150414,1189803,1189803,99,9,103
1987,Chignik,Pink Salmon,246775,899560,899560,101,9,103
1987,Chignik,Sockeye Salmon,1898838,14001714,14001714,104,12,115
1987,Cook Inlet,Chinook Salmon,40619,1164775,1164775,1073,35,626
1987,Cook Inlet,Chum Salmon,511405,3820706,3820706,1162,32,797
1987,Cook Inlet,Coho Salmon,465547,3078664,3078664,1264,35,811
1987,Cook Inlet,Pink Salmon,310820,1085553,1085553,1253,34,801
1987,Cook Inlet,Sockeye Salmon,9718105,64916188,64916188,1301,37,841
1987,Kodiak,Chinook Salmon,4612,59083,59083,308,15,263
1987,Kodiak,Chum Salmon,682021,5334100,5334100,487,18,384
1987,Kodiak,Coho Salmon,192802,1623137,1623137,470,16,362
1987,Kodiak,Pink Salmon,5075508,18307210,18307210,487,18,387
1987,Kodiak,Sockeye Salmon,1793820,11268454,11268454,485,18,385
1987,Kuskokwim,Chinook Salmon,64729,981481,981481,784,8,216
1987,Kuskokwim,Chum Salmon,601638,4097422,4097422,796,8,226
1987,Kuskokwim,Coho Salmon,479093,3459877,3459877,782,10,223
1987,Kuskokwim,Pink Salmon,163,608,608,107,3,33
1987,Kuskokwim,Sockeye Salmon,170999,1280931,1280931,785,7,219
1987,Norton Sound/Port Clarence,Chinook Salmon,7080,141494,141494,151,4,1
1987,Norton Sound/Port Clarence,Chum Salmon,102501,731930,731930,164,5,1
1987,Norton Sound/Port Clarence,Coho Salmon,24311,177806,177806,98,5,1
1987,Norton Sound/Port Clarence,Pink Salmon,2260,6691,6691,70,3,1
1987,Norton Sound/Port Clarence,Sockeye Salmon,207,1409,1409,56,3,1
1987,Prince William Sound,Chinook Salmon,42049,1141983,1141983,644,19,704
1987,Prince William Sound,Chum Salmon,1953777,15177753,15177753,771,24,859
1987,Prince William Sound,Coho Salmon,175652,1457485,1457485,656,22,669
1987,Prince William Sound,Pink Salmon,29358842,102231227,102231227,766,25,870
