Year,Area,Species Name,Number Of Fish (estimated),Landed Weight (lbs),Whole Weight (lbs),Permit Count,Processor Count,Vessel Count
1992,Atka/Amlia Islands,Coho Salmon,,,,4,1,2
1992,Atka/Amlia Islands,Pink Salmon,,,,13,1,9
1992,Atka/Amlia Islands,Sockeye Salmon,,,,7,1,5
1992,Bristol Bay,Chinook Salmon,68767,1149351,1149351,1643,45,1027
1992,Bristol Bay,Chum Salmon,920486,5836017,5836017,2812,54,2361
1992,Bristol Bay,Coho Salmon,191532,1342603,1342603,962,29,539
1992,Bristol Bay,Pink Salmon,499538,1809621,1809621,1068,25,609
1992,Bristol Bay,Sockeye Salmon,31863393,182443029,182443029,2858,56,2380
1992,Chignik,Chinook Salmon,10832,138090,138090,102,8,107
1992,Chignik,Chum Salmon,222134,1592326,1592326,102,8,106
1992,Chignik,Coho Salmon,310943,2362691,2362691,102,7,107
1992,Chignik,Pink Salmon,1554073,5799159,5799159,102,8,107
1992,Chignik,Sockeye Salmon,1277449,8372902,8372902,102,9,109
1992,Cook Inlet,Chinook Salmon,20188,455095,455095,867,35,332
1992,Cook Inlet,Chum Salmon,297694,2054408,2054408,1082,38,697
1992,Cook Inlet,Coho Salmon,475285,3064056,3064056,1232,43,706
1992,Cook Inlet,Pink Salmon,1175961,4215343,4215343,1262,38,721
1992,Cook Inlet,Sockeye Salmon,9300882,60876578,60876578,1294,45,745
1992,Kodiak,Chinook Salmon,24299,347817,347796,461,13,360
1992,Kodiak,Chum Salmon,679559,4928343,4928343,526,14,389
1992,Kodiak,Coho Salmon,280085,2292342,2292342,508,17,376
1992,Kodiak,Pink Salmon,3310644,12403979,12403979,524,15,386
1992,Kodiak,Sockeye Salmon,4167877,23684924,23684924,526,16,389
1992,Kuskokwim,Chinook Salmon,68085,912934,912934,805,8,141
1992,Kuskokwim,Chum Salmon,448754,3053268,3053268,813,7,143
1992,Kuskokwim,Coho Salmon,782558,5716663,5716663,804,7,27
1992,Kuskokwim,Pink Salmon,86294,338362,338362,669,6,73
1992,Kuskokwim,Sockeye Salmon,193555,1361207,1361207,799,7,144
1992,Norton Sound/Port Clarence,Chinook Salmon,,,,90,2,2
1992,Norton Sound/Port Clarence,Chum Salmon,83394,595345,595345,99,3,3
1992,Norton Sound/Port Clarence,Coho Salmon,105453,820468,820468,103,3,2
1992,Norton Sound/Port Clarence,Pink Salmon,,,,9,1,1
1992,Norton Sound/Port Clarence,Sockeye Salmon,,,,63,2,2
1992,Prince William Sound,Chinook Salmon,41306,1022699,1022699,568,22,576
1992,Prince William Sound,Chum Salmon,334329,2600100,2600100,704,25,715
1992,Prince William Sound,Coho Salmon,619554,5367237,5367237,728,28,762
1992,Prince William Sound,Pink Salmon,8637083,29365176,29365176,667,25,674
1992,Prince William Sound,Sockeye Salmon,1771369,10596418,10596418,769,28,834
1992,Southeast/Yakutat,Chinook Salmon,228211,3783961,3783928,2185,99,2099
1992,Southeast/Yakutat,Chum Salmon,4936511,39514375,39514363,2151,88,2147
1992,Southeast/Yakutat,Coho Salmon,3696075,28451119,28450318,2389,103,2418
1992,Southeast/Yakutat,Pink Salmon,34963247,115428593,115428525,2103,85,2124
1992,Southeast/Yakutat,Sockeye Salmon,2666265,16164413,16164413.78,1981,87,1927
1992,Yukon,Chinook Salmon,119704,2555482,2555482,741,12,2
1992,Yukon,Chum Salmon,351195,2419641,2419641,714,12,2
1992,Yukon,Coho Salmon,8185,50459,50459,23,5,1
1993,Alaska Peninsula/Aleutian Islands,Chinook Salmon,37998,658184,658184,403,21,371
1993,Alaska Peninsula/Aleutian Islands,Chum Salmon,1183217,7422763,7422763,415,21,409
1993,Alaska Peninsula/Aleutian Islands,Coho Salmon,284524,1831797,1831797,388,14,359
1993,Alaska Peninsula/Aleutian Islands,Pink Salmon,9933435,33347610,33347610,330,13,321
1993,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,7555667,42739822,42739822,448,21,462
1993,Arctic/Kotzebue,Chinook Salmon,55,967,967,37,4,1
1993,Arctic/Kotzebue,Chum Salmon,71071,602808,602808,114,4,1
1993,Atka/Amlia Islands,Chum Salmon,,,,8,2,8
1993,Atka/Amlia Islands,Coho Salmon,,,,1,1,1
1993,Atka/Amlia Islands,Pink Salmon,,,,8,2,8
1993,Atka/Amlia Islands,Sockeye Salmon,,,,3,2,3
1993,Bristol Bay,Chinook Salmon,85567,1484651,1484651,1827,56,1176
1993,Bristol Bay,Chum Salmon,838377,5394251,5394251,2791,63,2426
1993,Bristol Bay,Coho Salmon,72729,502018,502018,490,17,220
1993,Bristol Bay,Pink Salmon,413,1394,1394,185,12,38
1993,Bristol Bay,Sockeye Salmon,40459072,243506042,243505619,2852,67,2495
1993,Chignik,Chinook Salmon,19515,234253,234253,103,7,116
1993,Chignik,Chum Salmon,122360,736047,736047,102,6,114
1993,Chignik,Coho Salmon,229459,1461244,1461244,102,6,114
1993,Chignik,Pink Salmon,1648377,5313797,5313797,103,6,117
1993,Chignik,Sockeye Salmon,1697351,10262632,10257433,103,7,121
1993,Cook Inlet,Chinook Salmon,22517,549550,549550,878,31,386
1993,Cook Inlet,Chum Salmon,139318,798524,798524,1117,33,691
1993,Cook Inlet,Coho Salmon,321004,1887360,1887360,1216,36,709
1993,Cook Inlet,Pink Salmon,967732,2665013,2665013,1211,30,717
1993,Cook Inlet,Sockeye Salmon,5003654,29072063,29072063,1274,40,746
1993,Kodiak,Chinook Salmon,41029,496917,496895,466,16,361
1993,Kodiak,Chum Salmon,588331,3523203,3523203,508,19,397
1993,Kodiak,Coho Salmon,313467,2105176,2105176,497,18,387
1993,Kodiak,Pink Salmon,34019420,106410339,106410339,510,19,402
1993,Kodiak,Sockeye Salmon,4378941,22457141,22457141,509,20,402
1993,Kuskokwim,Chinook Salmon,29151,403849,403849,763,6,2
1993,Kuskokwim,Chum Salmon,103279,668558,668558,795,5,2
1993,Kuskokwim,Coho Salmon,694353,4599977,4599977,793,6,1
1993,Kuskokwim,Pink Salmon,80,264,264,59,4,1
1993,Kuskokwim,Sockeye Salmon,171874,1225582,1225582,749,6,2
1993,Norton Sound/Port Clarence,Chinook Salmon,8972,151504,151504,105,5,1
1993,Norton Sound/Port Clarence,Chum Salmon,54448,353393,353393,123,5,1
1993,Norton Sound/Port Clarence,Coho Salmon,43291,287841,287841,102,5,1
1993,Norton Sound/Port Clarence,Pink Salmon,,,,83,1,1
1993,Norton Sound/Port Clarence,Sockeye Salmon,284,2113,2113,55,5,1
1993,Prince William Sound,Chinook Salmon,32004,675147,675147,561,20,573
1993,Prince William Sound,Chum Salmon,1186251,7463607,7463607,630,22,628
1993,Prince William Sound,Coho Salmon,445577,3446353,3446353,645,20,651
1993,Prince William Sound,Pink Salmon,5760597,16478574,16478574,581,20,568
1993,Prince William Sound,Sockeye Salmon,1851040,10589563,10589563,693,24,746
1993,Southeast/Yakutat,Chinook Salmon,299359,4766454,4766454,2204,118,2132
1993,Southeast/Yakutat,Chum Salmon,7876487,55525437,55524334,2251,139,2355
1993,Southeast/Yakutat,Coho Salmon,3665435,22444038,22401676,2378,138,2491
1993,Southeast/Yakutat,Pink Salmon,57287217,170482385,170475817,2102,93,2157
1993,Southeast/Yakutat,Sockeye Salmon,3190860,18709805,18708948,2051,113,2036
1993,Yukon,Chinook Salmon,95102,1930030,1930030,748,14,3
1993,Yukon,Chum Salmon,98380,646857,646857,699,9,3
1994,Alaska Peninsula/Aleutian Islands,Chinook Salmon,28649,527155,527155,389,19,363
1994,Alaska Peninsula/Aleutian Islands,Chum Salmon,2276607,15234137,15234137,396,20,394
1994,Alaska Peninsula/Aleutian Islands,Coho Salmon,497824,4078516,4078516,451,17,429
1994,Alaska Peninsula/Aleutian Islands,Pink Salmon,10264955,34381449,34381449,373,19,379
1994,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,4890523,26877365,26877365,440,22,452
1994,Arctic/Kotzebue,Chinook Salmon,4,73,73,4,4,1
1994,Arctic/Kotzebue,Chum Salmon,149452,1166484,1166484,109,4,1
1994,Atka/Amlia Islands,Pink Salmon,,,,6,1,6
1994,Atka/Amlia Islands,Sockeye Salmon,,,,1,1,1
1994,Bristol Bay,Chinook Salmon,140902,2542348,2542348,1805,52,1156
1994,Bristol Bay,Chum Salmon,895018,5587803,5587803,2782,60,2398
1994,Bristol Bay,Coho Salmon,175240,1437486,1437486,813,23,456
1994,Bristol Bay,Pink Salmon,89907,339610,339610,668,15,326
1994,Bristol Bay,Sockeye Salmon,35222326,195518922,195518922,2835,65,2420
1994,Chignik,Chinook Salmon,3919,71865,71865,99,8,108
1994,Chignik,Chum Salmon,227245,1630766,1630766,97,7,111
1994,Chignik,Coho Salmon,237204,1996826,1996826,99,8,109
1994,Chignik,Pink Salmon,431063,1494659,1494659,100,7,117
1994,Chignik,Sockeye Salmon,1618973,10145835,10145835,100,9,122
1994,Cook Inlet,Chinook Salmon,21174,648281,648281,772,35,184
1994,Cook Inlet,Chum Salmon,333986,2300241,2300241,1033,33,585
1994,Cook Inlet,Coho Salmon,599551,4302881,4302881,1185,38,582
1994,Cook Inlet,Pink Salmon,2171602,6985351,6985351,1176,32,553
1994,Cook Inlet,Sockeye Salmon,3706172,20898336,20898336,1218,40,597
1994,Kodiak,Chinook Salmon,22576,315000,315000,392,16,282
1994,Kodiak,Chum Salmon,738856,5490740,5490740,456,19,326
1994,Kodiak,Coho Salmon,296311,2575410,2575410,447,17,316
1994,Kodiak,Pink Salmon,8162564,31116298,31116298,456,15,328
1994,Kodiak,Sockeye Salmon,2878027,14342261,14342261,458,20,326
1994,Kuskokwim,Chinook Salmon,29188,455722,455722,745,6,124
1994,Kuskokwim,Chum Salmon,371742,2437055,2437055,789,6,133
1994,Kuskokwim,Coho Salmon,863229,6547500,6547500,783,6,140
1994,Kuskokwim,Pink Salmon,84991,308389,308389,766,5,134
1994,Kuskokwim,Sockeye Salmon,193203,1329321,1329321,753,6,126
1994,Norton Sound/Port Clarence,Chinook Salmon,5285,98492,98492,84,4,20
1994,Norton Sound/Port Clarence,Chum Salmon,18290,122540,122540,111,6,16
1994,Norton Sound/Port Clarence,Coho Salmon,102152,770978,770978,111,6,1
1994,Norton Sound/Port Clarence,Pink Salmon,,,,77,2,16
1994,Norton Sound/Port Clarence,Sockeye Salmon,80,525,525,31,3,1
1994,Prince William Sound,Chinook Salmon,48558,1092055,1092055,552,24,566
1994,Prince William Sound,Chum Salmon,1058174,8976548,8976548,645,23,652
1994,Prince William Sound,Coho Salmon,1058154,10338118,10338118,668,28,685
1994,Prince William Sound,Pink Salmon,36886301,115059093,115059093,532,21,529
1994,Prince William Sound,Sockeye Salmon,1514329,8701302,8701302,705,31,755
1994,Southeast/Yakutat,Chinook Salmon,222623,3509158,1249295.05,2004,105,1922
1994,Southeast/Yakutat,Chum Salmon,10393707,79325916,79316491,2107,121,2124
1994,Southeast/Yakutat,Coho Salmon,5719999,43257965,43257443,2341,120,2355
1994,Southeast/Yakutat,Pink Salmon,57274121,172974432,172974432,1824,83,1847
1994,Southeast/Yakutat,Sockeye Salmon,2392477,14268618,14267061,1930,115,1896
1994,Yukon,Chinook Salmon,114756,2291812,2291812,710,12,2
1994,Yukon,Chum Salmon,87126,548053,548053,664,11,2
1994,Yukon,Coho Salmon,,,,1,1,1
1995,Alaska Peninsula/Aleutian Islands,Chinook Salmon,25024,494265,494265,407,18,391
1995,Alaska Peninsula/Aleutian Islands,Chum Salmon,1827615,12789390,12789390,396,17,416
1995,Alaska Peninsula/Aleutian Islands,Coho Salmon,399985,2664131,2664131,460,19,454
1995,Alaska Peninsula/Aleutian Islands,Pink Salmon,16324113,58763067,58763067,366,13,379
1995,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,6288969,33954898,33954898,443,21,482
1995,Arctic/Kotzebue,Chinook Salmon,,,,3,1,1
1995,Arctic/Kotzebue,Chum Salmon,,,,92,2,1
1995,Bristol Bay,Chinook Salmon,99318,1963259,1963259,1767,54,1120
1995,Bristol Bay,Chum Salmon,978877,6208996,6208996,2899,68,2557
1995,Bristol Bay,Coho Salmon,49444,329841,329841,586,20,278
1995,Bristol Bay,Pink Salmon,471,1674,1674,176,13,46
1995,Bristol Bay,Sockeye Salmon,44264767,243509508,243509508,2970,71,2605
1995,Chignik,Chinook Salmon,5261,111187,111187,99,7,106
1995,Chignik,Chum Salmon,380949,2814987,2814987,100,9,118
1995,Chignik,Coho Salmon,279924,2056293,2056293,100,9,109
1995,Chignik,Pink Salmon,2057998,7350386,7350386,100,9,117
1995,Chignik,Sockeye Salmon,1724045,11522321,11522321,101,10,131
1995,Cook Inlet,Chinook Salmon,21552,531091,531091,771,36,260
1995,Cook Inlet,Chum Salmon,577419,4146257,4146257,1112,31,676
1995,Cook Inlet,Coho Salmon,465411,3014684,3014684,1225,39,674
1995,Cook Inlet,Pink Salmon,2982151,8730206,8730206,1211,33,673
1995,Cook Inlet,Sockeye Salmon,3242325,18027356,18027356,1249,42,686
1995,Kodiak,Chinook Salmon,18704,257744,257744,429,15,314
1995,Kodiak,Chum Salmon,1522810,11412444,11412444,492,15,364
1995,Kodiak,Coho Salmon,307795,2473082,2473082,485,16,355
1995,Kodiak,Pink Salmon,42849309,150392033,150392033,492,15,367
1995,Kodiak,Sockeye Salmon,4488545,22932615,22932615,493,17,367
1995,Kuskokwim,Chinook Salmon,73324,1270411,1270411,782,6,123
1995,Kuskokwim,Chum Salmon,723231,4984588,4984588,795,6,129
1995,Kuskokwim,Coho Salmon,562031,4015364,4015364,773,8,113
1995,Kuskokwim,Pink Salmon,,,,172,2,22
1995,Kuskokwim,Sockeye Salmon,199935,1373720,1373720,786,6,128
1995,Norton Sound/Port Clarence,Chinook Salmon,8860,174771,174771,74,4,5
1995,Norton Sound/Port Clarence,Chum Salmon,42898,290445,290445,100,4,2
1995,Norton Sound/Port Clarence,Coho Salmon,47862,356190,356190,86,4,1
1995,Norton Sound/Port Clarence,Pink Salmon,,,,55,1,1
1995,Norton Sound/Port Clarence,Sockeye Salmon,128,920,920,36,3,1
1995,Prince William Sound,Chinook Salmon,67083,1651624,1651624,589,20,594
1995,Prince William Sound,Chum Salmon,758527,5958369,5958369,696,24,701
1995,Prince William Sound,Coho Salmon,965017,9031972,9031972,701,23,709
1995,Prince William Sound,Pink Salmon,16054564,57283931,57283931,592,22,579
1995,Prince William Sound,Sockeye Salmon,1523464,8752852,8752852,731,26,763
1995,Southeast/Yakutat,Chinook Salmon,216000,3546085.5,2006889.45,1963,98,1840
1995,Southeast/Yakutat,Chum Salmon,11138944,91111716,91110333,2037,134,2007
1995,Southeast/Yakutat,Coho Salmon,3344915,25546250,25544736.17,2202,129,2154
1995,Southeast/Yakutat,Pink Salmon,47965094,152733984,152733941,1811,78,1773
1995,Southeast/Yakutat,Sockeye Salmon,1795260,10392942,10392939.39,1888,99,1820
1995,Yukon,Chinook Salmon,124849,2676537,2676537,706,22,2
1995,Yukon,Chum Salmon,517715,3575881,3575881,691,13,2
1995,Yukon,Coho Salmon,46183,319031,319031,368,8,2
1996,Alaska Peninsula/Aleutian Islands,Chinook Salmon,10461,179197,179197,349,11,335
1996,Alaska Peninsula/Aleutian Islands,Chum Salmon,862598,6345119,6345119,374,13,400
1996,Alaska Peninsula/Aleutian Islands,Coho Salmon,450687,3293330,3293330,382,11,391
1996,Alaska Peninsula/Aleutian Islands,Pink Salmon,2261345,7368412,7368412,356,12,357
1996,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,3454260,20782660,20782660,399,19,442
1996,Arctic/Kotzebue,Chinook Salmon,,,,3,1,1
1996,Arctic/Kotzebue,Chum Salmon,,,,55,2,1
1996,Atka/Amlia Islands,Pink Salmon,,,,1,1,1
1996,Bristol Bay,Chinook Salmon,86376,1476341,1476341,1462,44,830
1996,Bristol Bay,Chum Salmon,826533,5685527,5685460,2769,45,2111
1996,Bristol Bay,Coho Salmon,125299,1080782,1080782,790,23,460
1996,Bristol Bay,Pink Salmon,37622,131229,131229,510,19,209
1996,Bristol Bay,Sockeye Salmon,29591030,185938839,185938816,2835,51,2127
1996,Chignik,Chinook Salmon,3105,62603,62603,96,5,97
1996,Chignik,Chum Salmon,99791,779840,779840,70,5,75
1996,Chignik,Coho Salmon,193226,1485947,1485947,98,5,109
1996,Chignik,Pink Salmon,183806,536218,536218,65,5,70
1996,Chignik,Sockeye Salmon,1958353,14902745,14902745,101,5,117
1996,Cook Inlet,Chinook Salmon,15432,422990,422990,724,32,246
1996,Cook Inlet,Chum Salmon,167105,1274694,1274675,973,32,642
1996,Cook Inlet,Coho Salmon,334607,2100454,2100454,1150,37,652
1996,Cook Inlet,Pink Salmon,694480,2172708,2172708,1116,27,628
1996,Cook Inlet,Sockeye Salmon,4374616,27032783,27032518,1200,38,665
1996,Kodiak,Chinook Salmon,13071,178538,178538,354,9,254
1996,Kodiak,Chum Salmon,543751,4440828,4440828,431,11,297
1996,Kodiak,Coho Salmon,201836,1646722,1646722,399,11,266
1996,Kodiak,Pink Salmon,3486930,12064961,12064961,426,11,292
1996,Kodiak,Sockeye Salmon,4970390,28240653,28240653,439,11,302
1996,Kuskokwim,Chinook Salmon,22758,357051,357051,598,10,96
1996,Kuskokwim,Chum Salmon,295436,2139213,2139213,693,11,113
1996,Kuskokwim,Coho Salmon,1101633,8779650,8779650,706,16,111
1996,Kuskokwim,Pink Salmon,1682,6400,6400,199,4,29
1996,Kuskokwim,Sockeye Salmon,122473,879890,879890,628,10,105
1996,Norton Sound/Port Clarence,Chinook Salmon,4999,96141,96141,58,4,33
1996,Norton Sound/Port Clarence,Chum Salmon,10833,86009,85905,72,4,29
1996,Norton Sound/Port Clarence,Coho Salmon,70458,593410,593410,80,9,4
1996,Norton Sound/Port Clarence,Pink Salmon,,,,62,2,1
1996,Norton Sound/Port Clarence,Sockeye Salmon,,,,1,1,1
1996,Prince William Sound,Chinook Salmon,56450,1396456,1396456,553,23,559
1996,Prince William Sound,Chum Salmon,2103003,18204259,18204259,570,25,572
1996,Prince William Sound,Coho Salmon,459319,3945315,3945315,563,23,563
1996,Prince William Sound,Pink Salmon,25759129,92269395,92269395,372,22,363
1996,Prince William Sound,Sockeye Salmon,2999966,19057969,19057969,628,27,656
1996,Southeast/Yakutat,Chinook Salmon,220289,3755601,1583236.33,1733,116,1642
1996,Southeast/Yakutat,Chum Salmon,14502648,134810346,133062817.29,1837,152,1826
1996,Southeast/Yakutat,Coho Salmon,3155962,22719803.8,22719854.19,2026,131,1967
1996,Southeast/Yakutat,Pink Salmon,64618423,193860669,193856770,1418,79,1383
1996,Southeast/Yakutat,Sockeye Salmon,2798556,17923472,17923472,1638,125,1584
1996,Yukon,Chinook Salmon,91361,1867024,1867024,659,19,3
1996,Yukon,Chum Salmon,242935,1796775,1796775,658,13,3
1996,Yukon,Coho Salmon,54371,414506,414506,278,8,1
1997,Alaska Peninsula/Aleutian Islands,Chinook Salmon,18164,292768,292768,349,16,343
1997,Alaska Peninsula/Aleutian Islands,Chum Salmon,725376,5009385,5009385,356,17,381
1997,Alaska Peninsula/Aleutian Islands,Coho Salmon,210912,1566593,1566593,371,13,369
1997,Alaska Peninsula/Aleutian Islands,Pink Salmon,2372072,7398101,7398101,326,12,340
1997,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,4432576,25357828,25357828,395,23,427
1997,Arctic/Kotzebue,Chinook Salmon,,,,23,1,1
1997,Arctic/Kotzebue,Chum Salmon,,,,68,1,1
1997,Bristol Bay,Chinook Salmon,76561,1256853,1256853,1570,40,965
1997,Bristol Bay,Chum Salmon,317557,2010807,2010807,2652,43,2080
1997,Bristol Bay,Coho Salmon,50424,366203,366203,410,17,203
1997,Bristol Bay,Pink Salmon,108,366,366,59,12,14
1997,Bristol Bay,Sockeye Salmon,12158746,72705222,72705222,2808,46,2110
1997,Chignik,Chinook Salmon,,,,95,2,95
1997,Chignik,Chum Salmon,,,,98,2,101
1997,Chignik,Coho Salmon,,,,95,2,98
1997,Chignik,Pink Salmon,,,,98,2,102
1997,Chignik,Sockeye Salmon,,,,99,2,105
1997,Cook Inlet,Chinook Salmon,14501,382861,382861,771,30,296
1997,Cook Inlet,Chum Salmon,110021,806605,806605,911,28,635
1997,Cook Inlet,Coho Salmon,162248,1042247,1041895,1122,36,635
1997,Cook Inlet,Pink Salmon,2881164,8895511,8895511,1123,30,654
1997,Cook Inlet,Sockeye Salmon,4443170,28620089,28620089,1205,42,684
1997,Kodiak,Chinook Salmon,18727,186852,186852,366,11,267
1997,Kodiak,Chum Salmon,520326,4159513,4159513,438,11,296
1997,Kodiak,Coho Salmon,381008,3036321,3036321,428,14,290
1997,Kodiak,Pink Salmon,11035128,37273464,37273464,437,9,299
1997,Kodiak,Sockeye Salmon,2505642,13163155,13163155,439,14,301
1997,Kuskokwim,Chinook Salmon,48304,781820,781820,575,5,91
1997,Kuskokwim,Chum Salmon,67980,492391,492391,656,5,102
1997,Kuskokwim,Coho Salmon,167556,1261926,1261926,682,5,99
1997,Kuskokwim,Pink Salmon,10,27,27,6,3,2
1997,Kuskokwim,Sockeye Salmon,123519,876138,876138,565,6,94
1997,Norton Sound/Port Clarence,Chinook Salmon,12573,224842,224842,87,8,1
1997,Norton Sound/Port Clarence,Chum Salmon,34103,253006,253006,98,5,1
1997,Norton Sound/Port Clarence,Coho Salmon,32284,234986,234986,77,5,1
1997,Norton Sound/Port Clarence,Pink Salmon,,,,1,1,1
1997,Norton Sound/Port Clarence,Sockeye Salmon,161,1095,1095,28,4,1
1997,Prince William Sound,Chinook Salmon,52482,1218955,1218955,569,21,603
1997,Prince William Sound,Chum Salmon,2225286,19165019,19165019,561,23,573
1997,Prince William Sound,Coho Salmon,83116,637494,637494,463,21,462
1997,Prince William Sound,Pink Salmon,25836558,96893051,96893051,497,22,501
1997,Prince William Sound,Sockeye Salmon,4162486,26334080,26334080,661,29,733
1997,Southeast/Yakutat,Chinook Salmon,300909,5171560,2662174.64,1793,113,1706
1997,Southeast/Yakutat,Chum Salmon,11783768,106019923,106004984,1714,131,1710
1997,Southeast/Yakutat,Coho Salmon,1973843,14408229,14408240.3,1961,115,1904
1997,Southeast/Yakutat,Pink Salmon,28964920,111416352,111416352,1560,75,1529
1997,Southeast/Yakutat,Sockeye Salmon,2476834,15423370,15423372.35,1752,122,1705
1997,Yukon,Chinook Salmon,112987,2327041,2327041,689,18,70
1997,Yukon,Chum Salmon,152323,1092098,1092098,665,14,48
1997,Yukon,Coho Salmon,35364,255565,255565,305,5,2
1998,Alaska Peninsula/Aleutian Islands,Chinook Salmon,10847,166161,166161,311,10,343
1998,Alaska Peninsula/Aleutian Islands,Chum Salmon,790584,5609384,5609384,353,12,515
1998,Alaska Peninsula/Aleutian Islands,Coho Salmon,288918,2196924,2196924,387,10,458
1998,Alaska Peninsula/Aleutian Islands,Pink Salmon,8082808,28395641,28395641,360,10,468
1998,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,3271328,18657526,18657526,397,13,600
1998,Arctic/Kotzebue,Chinook Salmon,,,,28,1,1
1998,Arctic/Kotzebue,Chum Salmon,,,,45,1,1
1998,Bristol Bay,Chinook Salmon,134745,2249930,2249930,1443,36,898
1998,Bristol Bay,Chum Salmon,395670,2460910,2460910,2650,41,2022
1998,Bristol Bay,Coho Salmon,125841,1048084,1048084,510,20,271
1998,Bristol Bay,Pink Salmon,25431,84141,84141,460,13,201
1998,Bristol Bay,Sockeye Salmon,10034915,57665984,57665984,2762,46,2069
1998,Chignik,Chinook Salmon,,,,84,2,92
1998,Chignik,Chum Salmon,,,,85,2,93
1998,Chignik,Coho Salmon,,,,80,2,86
1998,Chignik,Pink Salmon,,,,85,2,94
1998,Chignik,Sockeye Salmon,,,,86,2,100
1998,Cook Inlet,Chinook Salmon,9071,195422,195422,631,33,200
1998,Cook Inlet,Chum Salmon,101485,738173,738173,867,25,580
1998,Cook Inlet,Coho Salmon,172540,1205015,1205015,1063,31,590
1998,Cook Inlet,Pink Salmon,2010531,6635903,6635903,1083,27,603
1998,Cook Inlet,Sockeye Salmon,1507717,8003520,8002840,1122,32,618
1998,Kodiak,Chinook Salmon,17341,249285,249285,319,12,221
1998,Kodiak,Chum Salmon,316115,2464537,2464537,385,12,255
1998,Kodiak,Coho Salmon,425143,3593237,3593237,372,15,242
1998,Kodiak,Pink Salmon,22062465,81767413,81767413,380,10,255
1998,Kodiak,Sockeye Salmon,3623686,17527508,17527508,389,15,261
1998,Kuskokwim,Chinook Salmon,44384,631823,631823,656,3,1
1998,Kuskokwim,Chum Salmon,268194,1840338,1840338,685,3,1
1998,Kuskokwim,Coho Salmon,312455,2426749,2426749,675,4,1
1998,Kuskokwim,Pink Salmon,2720,10421,10421,146,3,1
1998,Kuskokwim,Sockeye Salmon,130069,877932,877932,661,4,1
1998,Norton Sound/Port Clarence,Chinook Salmon,7429,127831,127831,82,12,1
1998,Norton Sound/Port Clarence,Chum Salmon,16324,106687,106687,82,6,1
1998,Norton Sound/Port Clarence,Coho Salmon,29623,232705,232705,60,7,1
1998,Norton Sound/Port Clarence,Pink Salmon,,,,61,1,1
1998,Norton Sound/Port Clarence,Sockeye Salmon,,,,4,1,1
1998,Prince William Sound,Chinook Salmon,70722,1588512,1588512,596,22,657
1998,Prince William Sound,Chum Salmon,1270035,10411565,10222167,591,21,633
1998,Prince William Sound,Coho Salmon,194644,1670071,1440630,594,20,651
1998,Prince William Sound,Pink Salmon,28672951,105300321,104419159,511,19,544
1998,Prince William Sound,Sockeye Salmon,1715495,10364526,10363727,683,29,829
1998,Southeast/Yakutat,Chinook Salmon,238104,4059501,2013449.35,1714,130,1614
1998,Southeast/Yakutat,Chum Salmon,15690353,138836383,138831183,1663,111,1598
1998,Southeast/Yakutat,Coho Salmon,2987989,23300467,23300467,1931,122,1834
1998,Southeast/Yakutat,Pink Salmon,42531846,147395284,147395284,1487,69,1423
1998,Southeast/Yakutat,Sockeye Salmon,1375196,8313865,8313865,1551,113,1448
1998,Yukon,Chinook Salmon,43696,781280,781280,670,15,3
1998,Yukon,Chum Salmon,28654,191965,191965,623,11,3
1998,Yukon,Coho Salmon,,,,1,1,1
1999,Alaska Peninsula/Aleutian Islands,Chinook Salmon,9960,151196,151196,321,10,353
1999,Alaska Peninsula/Aleutian Islands,Chum Salmon,890150,6055168,6055168,337,9,432
1999,Alaska Peninsula/Aleutian Islands,Coho Salmon,246410,1498163,1498163,331,10,387
1999,Alaska Peninsula/Aleutian Islands,Pink Salmon,8460816,25895338,25895338,293,8,346
1999,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,4775623,25352048,25352048,354,17,483
1999,Arctic/Kotzebue,Chinook Salmon,,,,5,1,1
1999,Arctic/Kotzebue,Chum Salmon,,,,60,2,1
1999,Bristol Bay,Chinook Salmon,26457,384628,384272,1399,33,811
1999,Bristol Bay,Chum Salmon,685267,4005481,1665891,2782,43,2149
1999,Bristol Bay,Coho Salmon,19545,134845,134845,270,11,110
1999,Bristol Bay,Pink Salmon,68,225,225,45,11,12
1999,Bristol Bay,Sockeye Salmon,25657666,135754826,20129606,2786,45,2155
1999,Chignik,Chinook Salmon,3296,56706,56706,89,3,95
1999,Chignik,Chum Salmon,140594,1064433,1064433,90,4,100
1999,Chignik,Coho Salmon,89410,617320,617320,87,3,94
1999,Chignik,Pink Salmon,1698651,4845435,4845435,90,3,100
1999,Chignik,Sockeye Salmon,3116501,20570053,20570053,91,4,114
1999,Cook Inlet,Chinook Salmon,15898,363675,363651,717,29,251
1999,Cook Inlet,Chum Salmon,184061,1471341,1471148,769,26,536
1999,Cook Inlet,Coho Salmon,133524,785243,773538,996,29,532
1999,Cook Inlet,Pink Salmon,1156650,2915728,2915728,940,23,502
1999,Cook Inlet,Sockeye Salmon,3136283,17619979,17618775,1085,31,555
