Year,Species Name,Port Area,Pounds,Value
1980,"Rockfish, bocaccio",MORRO BAY,"2,333,686","$ 456,473.00 "
1980,"Shark, blue",MORRO BAY,Confidential,Confidential
1980,"Tuna, yellowfin",SAN FRANCISCO,Confidential,Confidential
1980,"Shrimp, ocean (pink)",SAN FRANCISCO,"2,207",$ 120.00 
1980,"Eel, wolf (wolf-eel)",FORT BRAGG,Confidential,Confidential
1980,Turbot,MORRO BAY,"4,696",$ 844.00 
1980,Sablefish,LOS ANGELES,"1,011,308","$ 180,946.00 "
1980,"Turbot, diamond",MORRO BAY,Confidential,Confidential
1980,"Sole, Dover",EUREKA,"10,977,629","$ 2,134,681.00 "
1980,"Squid, market",MONTEREY,"15,712,600","$ 1,668,439.00 "
1980,"Bass, giant sea",SAN DIEGO,"25,317","$ 17,919.00 "
1980,"Prawn, spot",SAN DIEGO,"1,111","$ 3,311.00 "
1980,"Surfperch, redtail",FORT BRAGG,Confidential,Confidential
1980,"Squid, market",SAN DIEGO,"10,670","$ 1,408.00 "
1980,"Tuna, yellowfin",MONTEREY,Confidential,Confidential
1980,"Abalone, pink",MONTEREY,Confidential,Confidential
1980,"Crab, rock unspecified",MONTEREY,Confidential,Confidential
1980,"Guitarfish, shovelnose",LOS ANGELES,Confidential,Confidential
1980,"Sole, butter",SAN DIEGO,Confidential,Confidential
1980,Silversides,FORT BRAGG,Confidential,Confidential
1980,"Sole, rex",FORT BRAGG,"296,994","$ 98,717.00 "
1980,"Worms, marine",LOS ANGELES,Confidential,Confidential
1980,"Shark, Pacific angel",SANTA BARBARA,"83,971","$ 23,881.00 "
1980,"Surfperch, pile",SAN FRANCISCO,Confidential,Confidential
1980,"Skate, unspecified",SANTA BARBARA,"2,066",$ 452.00 
1980,"Smelts, true",EUREKA,Confidential,Confidential
1980,"Flounder, arrowtooth",SAN FRANCISCO,Confidential,Confidential
1980,"Crab, Dungeness",SANTA BARBARA,707,$ 569.00 
1980,"Sole, English",LOS ANGELES,Confidential,Confidential
1980,Mussel,SAN FRANCISCO,Confidential,Confidential
1980,"Sole, rex",SAN FRANCISCO,"281,701","$ 67,926.00 "
1980,Thornyheads,BODEGA BAY,"66,899","$ 15,383.00 "
1980,"Kelp, giant",MONTEREY,Confidential,Confidential
1980,"Abalone, black",SAN DIEGO,"7,327","$ 8,798.00 "
1980,Cabezon,MORRO BAY,"45,129","$ 5,786.00 "
1980,"Sole, butter",EUREKA,"59,088","$ 12,204.00 "
1980,"Salmon, Chinook",MORRO BAY,"107,059","$ 261,071.00 "
1980,"Rockfish, vermilion",EUREKA,Confidential,Confidential
1980,"Rockfish, blue",BODEGA BAY,Confidential,Confidential
1980,"Rockfish, black",SAN FRANCISCO,"23,676","$ 2,981.00 "
1980,"Clam, unspecified",MONTEREY,Confidential,Confidential
1980,"Shark, thresher",SACRAMENTO DELTA,Confidential,Confidential
1980,Queenfish,SANTA BARBARA,Confidential,Confidential
1980,"Shark, shortfin mako",LOS ANGELES,"126,201","$ 81,219.00 "
1980,"Mackerel, Pacific",SANTA BARBARA,"5,620,136","$ 341,380.00 "
1980,Queenfish,SAN DIEGO,Confidential,Confidential
1980,"Surfperch, unspecified",SACRAMENTO DELTA,Confidential,Confidential
1980,"Surfperch, rubberlip",MORRO BAY,Confidential,Confidential
1980,"Surfperch, unspecified",FORT BRAGG,Confidential,Confidential
1980,Thornyheads,EUREKA,"1,843,847","$ 421,473.00 "
1980,"Sea urchin, red",SAN FRANCISCO,"12,380","$ 1,575.00 "
1980,"Shrimp, ocean (pink)",BODEGA BAY,Confidential,Confidential
1980,"Shark, blue",MONTEREY,Confidential,Confidential
1980,"Octopus, unspecified",MONTEREY,"4,920","$ 1,956.00 "
1980,Abalone,SAN FRANCISCO,Confidential,Confidential
1980,"Clam, freshwater",SACRAMENTO DELTA,Confidential,Confidential
1980,Yellowtail,MONTEREY,"1,627",$ 542.00 
1980,Jacksmelt,LOS ANGELES,"11,840","$ 1,312.00 "
1980,"Whelk, Kellet's",SANTA BARBARA,Confidential,Confidential
1980,"Croaker, white",SANTA BARBARA,"87,075","$ 34,682.00 "
1980,"Mackerel, unspecified",SANTA BARBARA,Confidential,Confidential
1980,Thornyheads,MONTEREY,"144,023","$ 32,276.00 "
1980,"Tuna, albacore",LOS ANGELES,"21,999,823","$ 21,115,459.00 "
1980,"Rockfish, unspecified",LOS ANGELES,"1,030,978","$ 534,889.00 "
1980,"Rockfish, China",EUREKA,Confidential,Confidential
1980,"Smelts, true",MONTEREY,"1,226",$ 281.00 
1980,"Sole, unspecified",MORRO BAY,"6,183","$ 2,351.00 "
1980,"Anchovy, northern",SAN DIEGO,Confidential,Confidential
1980,"Rockfish, group bolina",MONTEREY,"4,264","$ 1,540.00 "
1980,"Tuna, yellowfin",MORRO BAY,Confidential,Confidential
1980,"Seabass, white",SANTA BARBARA,"41,793","$ 59,514.00 "
1980,Lingcod,LOS ANGELES,"3,698","$ 1,810.00 "
1980,"Crab, spider",MORRO BAY,Confidential,Confidential
1980,"Barracuda, California",SANTA BARBARA,187,$ 110.00 
1980,Opah,LOS ANGELES,Confidential,Confidential
1980,"Tuna, skipjack",EUREKA,Confidential,Confidential
1980,"Fish, unspecified",SAN FRANCISCO,"3,909","$ 1,272.00 "
1980,"Sole, petrale",SAN FRANCISCO,"547,608","$ 195,761.00 "
1980,"Rockfish, yelloweye",BODEGA BAY,Confidential,Confidential
1980,"Shrimp, ghost",LOS ANGELES,Confidential,Confidential
1980,"Rockfish, widow",EUREKA,Confidential,Confidential
1980,"Abalone, red",SAN FRANCISCO,"25,421","$ 39,463.00 "
1980,"Rockfish, chilipepper",MONTEREY,"24,776","$ 3,903.00 "
1980,"Sole, Dover",FORT BRAGG,"3,951,882","$ 794,958.00 "
